request_id,metric_name,result,ts
ed79d451-3657-4bc8-8f66-101d7d744e77,task_success_rate,1.0,2026-03-22 04:40:49
ed79d451-3657-4bc8-8f66-101d7d744e77,tool_selection_accuracy,,2026-03-22 04:40:49
ed79d451-3657-4bc8-8f66-101d7d744e77,parameter_correctness,,2026-03-22 04:40:49
ed79d451-3657-4bc8-8f66-101d7d744e77,step_efficiency,6.0,2026-03-22 04:40:49
ed79d451-3657-4bc8-8f66-101d7d744e77,safety_compliance,,2026-03-22 04:40:49
ed79d451-3657-4bc8-8f66-101d7d744e77,cost,,2026-03-22 04:40:49
ed79d451-3657-4bc8-8f66-101d7d744e77,latency,31366.0,2026-03-22 04:40:49
ed79d451-3657-4bc8-8f66-101d7d744e77,recovery_resilience,,2026-03-22 04:40:49
c087a24d-1b02-4b61-a0d4-50025cec609e,task_success_rate,0.0,2026-03-22 04:54:33
c087a24d-1b02-4b61-a0d4-50025cec609e,tool_selection_accuracy,,2026-03-22 04:54:33
c087a24d-1b02-4b61-a0d4-50025cec609e,parameter_correctness,,2026-03-22 04:54:33
c087a24d-1b02-4b61-a0d4-50025cec609e,step_efficiency,4.0,2026-03-22 04:54:33
c087a24d-1b02-4b61-a0d4-50025cec609e,safety_compliance,,2026-03-22 04:54:33
c087a24d-1b02-4b61-a0d4-50025cec609e,cost,,2026-03-22 04:54:33
c087a24d-1b02-4b61-a0d4-50025cec609e,latency,268327.0,2026-03-22 04:54:33
c087a24d-1b02-4b61-a0d4-50025cec609e,recovery_resilience,,2026-03-22 04:54:33
03349431-c7fa-4e5b-b3a0-fe3e7c7a8e5a,task_success_rate,1.0,2026-03-22 05:23:33
03349431-c7fa-4e5b-b3a0-fe3e7c7a8e5a,tool_selection_accuracy,,2026-03-22 05:23:33
03349431-c7fa-4e5b-b3a0-fe3e7c7a8e5a,parameter_correctness,,2026-03-22 05:23:33
03349431-c7fa-4e5b-b3a0-fe3e7c7a8e5a,step_efficiency,6.0,2026-03-22 05:23:33
03349431-c7fa-4e5b-b3a0-fe3e7c7a8e5a,safety_compliance,,2026-03-22 05:23:33
03349431-c7fa-4e5b-b3a0-fe3e7c7a8e5a,cost,,2026-03-22 05:23:33
03349431-c7fa-4e5b-b3a0-fe3e7c7a8e5a,latency,29734.0,2026-03-22 05:23:33
03349431-c7fa-4e5b-b3a0-fe3e7c7a8e5a,recovery_resilience,,2026-03-22 05:23:33
4bc6f5a0-5858-4c1e-aa9f-0e37bd966383,task_success_rate,0.0,2026-04-21 01:41:41
